tpr_a,tpr_b,fpr_a,fpr_b,I1_lo,I1_hi,I0_lo,I0_hi,vbar1,vbar0,cc_hat,ci_lo,ci_hi,ci_width,D,D_lamp,bonferroni_call,bhy_call
0.41666666666666663,1.0,0.04,0.04,0.31951131254954984,0.8067396863412435,0.7575059933447592,1.0,0.5833333333333334,1.0,0.41666666666666663,0.16458333333333333,0.6666666666666667,0.5020833333333334,0.41666666666666663,0.41666666666666663,reject,reject
0.41666666666666663,1.0,0.04,0.04,0.31951131254954984,0.8067396863412435,0.7719046276458016,0.9999999999999998,0.5833333333333334,1.0,0.41666666666666663,0.16666666666666663,0.6687500000000005,0.5020833333333339,0.41666666666666663,0.41666666666666663,reject,reject
0.3846153846153846,1.0,0.04,0.04,0.35522891512665694,0.8229029220223743,0.7719046276458016,0.9999999999999998,0.6153846153846154,1.0,0.3846153846153846,0.07692307692307687,0.6923076923076923,0.6153846153846154,0.3846153846153846,0.3846153846153846,reject,reject
0.3846153846153846,1.0,0.04,0.04,0.35522891512665694,0.8229029220223743,0.7846891972623643,1.0,0.6153846153846154,1.0,0.3846153846153846,0.15384615384615385,0.6153846153846154,0.46153846153846156,0.3846153846153846,0.3846153846153846,reject,reject
0.4285714285714286,1.0,0.04,0.04,0.32590644579650746,0.7861920109552588,0.7846891972623643,1.0,0.5714285714285714,1.0,0.4285714285714286,0.21250000000000005,0.7857142857142857,0.5732142857142857,0.4285714285714286,0.4285714285714286,reject,reject
0.4,1.0,0.04,0.04,0.35746830120624606,0.801755038586584,0.7846891972623643,1.0,0.6,1.0,0.4,0.19833333333333333,0.6,0.4016666666666666,0.4,0.4,reject,reject
0.4,1.0,0.04,0.04,0.35746830120624606,0.801755038586584,0.7961166989641514,0.9999999999999998,0.6,1.0,0.4,0.1333333333333333,0.6666666666666667,0.5333333333333334,0.4,0.4,reject,reject
0.4375,1.0,0.04,0.04,0.33178556398811904,0.7690134759450764,0.7961166989641514,0.9999999999999998,0.5625,1.0,0.4375,0.1875,0.6890625000000004,0.5015625000000004,0.4375,0.4375,reject,reject
0.4117647058823529,1.0,0.04,0.04,0.3600544264299979,0.7838894320978519,0.7961166989641514,0.9999999999999998,0.5882352941176471,1.0,0.4117647058823529,0.17647058823529416,0.6470588235294117,0.47058823529411753,0.4117647058823529,0.4117647058823529,reject,reject
0.4117647058823529,1.0,0.04,0.04,0.3600544264299979,0.7838894320978519,0.8063923194655637,1.0,0.5882352941176471,1.0,0.4117647058823529,0.17500000000000007,0.5897058823529415,0.4147058823529415,0.4117647058823529,0.4117647058823529,reject,reject
