rho,rho_neg,rho_pos,tpr_b_target,fpr_b_target,tpr_a_target,fpr_a_target,comp,n_samples,replicates,thr_a,thr_b,mu_a,mu_b,tpr_a,tpr_a_std,fpr_a,fpr_a_std,tpr_b,tpr_b_std,fpr_b,fpr_b_std,tpr_comp,tpr_comp_std,fpr_comp,fpr_comp_std,j_a,j_a_std,j_b,j_b_std,j_comp,j_comp_std,cc_max,cc_max_std,delta_add,delta_add_std,rho_score_neg_hat,rho_score_neg_hat_std,rho_score_pos_hat,rho_score_pos_hat_std,rho_dec_neg_hat,rho_dec_neg_hat_std,rho_dec_pos_hat,rho_dec_pos_hat_std
-0.48,-0.48,-0.48,0.625,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.7237109242740078,0.81565,0.0,0.07935,0.0,0.6245,0.0,0.0809,0.0,0.46535,0.0,0.00015,0.0,0.7363,0.0,0.5436000000000001,0.0,0.4652,0.0,0.631807687084069,0.0,-0.41444732,0.0,-0.48598431523624397,0.0,-0.47500373796014816,0.0,-0.08506494596925263,0.0,-0.23444401166715007,0.0
-0.48,-0.48,-0.48,0.65,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.7903920267172002,0.81915,0.0,0.08135,0.0,0.6549,0.0,0.0827,0.0,0.49535,0.0,0.0003,0.0,0.7378,0.0,0.5722,0.0,0.49505,0.0,0.670981295744104,0.0,-0.39278084,0.0,-0.48170812076661756,0.0,-0.4746077785771715,0.0,-0.08536692003597243,0.0,-0.22467804204299344,0.0
-0.48,-0.48,-0.48,0.675,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.8588337504795123,0.82075,0.0,0.0784,0.0,0.67465,0.0,0.0799,0.0,0.51235,0.0,0.0006,0.0,0.74235,0.0,0.59475,0.0,0.5117499999999999,0.0,0.6893648548528322,0.0,-0.38383733750000004,0.0,-0.47486124647328903,0.0,-0.4811537755912037,0.0,-0.07771687751450713,0.0,-0.23021053597807173,0.0
-0.48,-0.48,-0.48,0.7,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.9294720730176733,0.81655,0.0,0.0847,0.0,0.70145,0.0,0.08185,0.0,0.5334,0.0,0.00025,0.0,0.73185,0.0,0.6196,0.0,0.53315,0.0,0.7284962765594043,0.0,-0.36484574000000003,0.0,-0.4821489177364748,0.0,-0.4926924849594815,0.0,-0.08755118785300656,0.0,-0.2222783727812455,0.0
-0.48,-0.48,-0.48,0.725,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.002831686352111,0.81855,0.0,0.0843,0.0,0.72165,0.0,0.08005,0.0,0.55435,0.0,0.0003,0.0,0.73425,0.0,0.6416000000000001,0.0,0.55405,0.0,0.7545795028941097,0.0,-0.35070519999999994,0.0,-0.4877122635728723,0.0,-0.4765411505683553,0.0,-0.08552367118867017,0.0,-0.21048605968160014,0.0
-0.48,-0.48,-0.48,0.75,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.0795613105057145,0.8193,0.0,0.08125,0.0,0.75325,0.0,0.07995,0.0,0.5836,0.0,0.00025,0.0,0.73805,0.0,0.6733,0.0,0.58335,0.0,0.7903936047693246,0.0,-0.33107093500000007,0.0,-0.487786332227772,0.0,-0.48113412883537104,0.0,-0.0842892761759651,0.0,-0.20217846492194239,0.0
-0.48,-0.48,-0.48,0.775,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.160486586670102,0.8239,0.0,0.08395,0.0,0.7728,0.0,0.0788,0.0,0.60605,0.0,0.0004,0.0,0.73995,0.0,0.6940000000000001,0.0,0.60565,0.0,0.8185012500844652,0.0,-0.31477469999999996,0.0,-0.48687200446745044,0.0,-0.48079587269290336,0.0,-0.083185817286371,0.0,-0.19209513572126194,0.0
-0.48,-0.48,-0.48,0.8,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.246692793882547,0.81885,0.0,0.07845,0.0,0.8024,0.0,0.08225,0.0,0.62865,0.0,0.00045,0.0,0.7404,0.0,0.72015,0.0,0.6282000000000001,0.0,0.8484602917341979,0.0,-0.29915094,0.0,-0.47414614670607735,0.0,-0.4851410339910804,0.0,-0.0812544205453182,0.0,-0.1851549246835985,0.0
-0.48,-0.48,-0.48,0.825,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.3396608513831127,0.82055,0.0,0.0787,0.0,0.8233,0.0,0.0801,0.0,0.64995,0.0,0.00045,0.0,0.74185,0.0,0.7432000000000001,0.0,0.6495000000000001,0.0,0.8739235737351991,0.0,-0.28420708000000006,0.0,-0.4892174457826249,0.0,-0.4786204193033019,0.0,-0.08008821317727663,0.0,-0.17497173331146515,0.0
-0.48,-0.48,-0.48,0.8500000000000001,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.4415049498034227,0.81505,0.0,0.08035,0.0,0.84925,0.0,0.0808,0.0,0.66945,0.0,0.00015,0.0,0.7347,0.0,0.76845,0.0,0.6693,0.0,0.8709740386492291,0.0,-0.269269785,0.0,-0.48178439500151327,0.0,-0.47932910840620063,0.0,-0.08561118235938749,0.0,-0.16362771665330297,0.0
