n_events,event,endpoint,sample_size,analytic,estimate_mean,estimate_sd,abs_error
3,or,upper,100,0.9438642726238038,0.9333333333333331,0.021343747458109467,0.010530939290470664
3,or,upper,300,0.9438642726238038,0.9424999999999999,0.010981887444872671,0.0013642726238038971
3,or,upper,1000,0.9438642726238038,0.9433333333333332,0.005632248416238576,0.0005309392904705446
3,or,upper,3000,0.9438642726238038,0.9437500000000001,0.005194592986586745,0.00011427262380370173
3,or,upper,10000,0.9438642726238038,0.9439833333333335,0.002435786434717874,0.00011906070952971692
4,and,lower,100,0.0,0.0,0.0,0.0
4,and,lower,300,0.0,0.0,0.0,0.0
4,and,lower,1000,0.0,0.0,0.0,0.0
4,and,lower,3000,0.0,0.0,0.0,0.0
4,and,lower,10000,0.0,0.0,0.0,0.0
4,and,upper,100,0.18278128313771275,0.18833333333333332,0.026087459737497546,0.005552050195620578
4,and,upper,300,0.18278128313771275,0.18277777777777773,0.027244888522753842,3.505359935013219e-06
4,and,upper,1000,0.18278128313771275,0.18091666666666664,0.008929896727037527,0.0018646164710461044
4,and,upper,3000,0.18278128313771275,0.1835,0.00779066392834683,0.0007187168622872497
4,and,upper,10000,0.18278128313771275,0.18282500000000002,0.003406886408438063,4.3716862287268565e-05
4,or,lower,100,0.8974416364521997,0.9125,0.03369594436525953,0.015058363547800324
4,or,lower,300,0.8974416364521997,0.9002777777777777,0.02481256899732299,0.0028361413255780787
4,or,lower,1000,0.8974416364521997,0.8988333333333333,0.007914473380389185,0.0013916968811336083
4,or,lower,3000,0.8974416364521997,0.8960277777777778,0.005575173694908082,0.0014138586744218973
4,or,lower,10000,0.8974416364521997,0.8988416666666666,0.0023393226702521242,0.0014000302144669963
4,or,upper,100,1.0,1.0,0.0,0.0
4,or,upper,300,1.0,1.0,0.0,0.0
4,or,upper,1000,1.0,1.0,0.0,0.0
4,or,upper,3000,1.0,1.0,0.0,0.0
4,or,upper,10000,1.0,1.0,0.0,0.0
5,and,lower,100,0.0,0.0,0.0,0.0
5,and,lower,300,0.0,0.0,0.0,0.0
5,and,lower,1000,0.0,0.0,0.0,0.0
5,and,lower,3000,0.0,0.0,0.0,0.0
5,and,lower,10000,0.0,0.0,0.0,0.0
5,and,upper,100,0.1451259340698862,0.15416666666666667,0.02628635049264584,0.009040732596780482
5,and,upper,300,0.1451259340698862,0.1416666666666667,0.02183693778559283,0.0034592674032195014
5,and,upper,1000,0.1451259340698862,0.14808333333333334,0.014186016197493769,0.0029573992634471524
5,and,upper,3000,0.1451259340698862,0.14338888888888887,0.0033245254000838155,0.0017370451809973209
5,and,upper,10000,0.1451259340698862,0.14545833333333333,0.0033325311534761182,0.0003323992634471362
5,or,lower,100,0.7583888938942804,0.7608333333333333,0.04751461763382811,0.0024444394390528146
5,or,lower,300,0.7583888938942804,0.7455555555555556,0.018425693279752228,0.012833338338724798
5,or,lower,1000,0.7583888938942804,0.7598333333333334,0.011021443744910302,0.0014444394390529247
5,or,lower,3000,0.7583888938942804,0.7545833333333333,0.005959935681979587,0.0038055605609471632
5,or,lower,10000,0.7583888938942804,0.7579916666666667,0.004938531889359642,0.00039722722761370566
5,or,upper,100,1.0,1.0,0.0,0.0
5,or,upper,300,1.0,1.0,0.0,0.0
5,or,upper,1000,1.0,1.0,0.0,0.0
5,or,upper,3000,1.0,1.0,0.0,0.0
5,or,upper,10000,1.0,1.0,0.0,0.0
