p1,p2,p3,event,classical_width,improved_width,width_reduction
0.095,0.05,0.55,and,0.05,0.004750000000000002,0.04525
0.095,0.05,0.55,or,0.14500000000000002,0.004749999999999921,0.1402500000000001
0.095,0.095,0.55,and,0.095,0.009025,0.085975
0.095,0.095,0.55,or,0.18999999999999995,0.00902500000000006,0.18097499999999989
0.095,0.14,0.55,and,0.095,0.013300000000000001,0.0817
0.095,0.14,0.55,or,0.235,0.01330000000000009,0.2216999999999999
0.095,0.185,0.55,and,0.095,0.017575,0.077425
0.095,0.185,0.55,or,0.28,0.017574999999999896,0.26242500000000013
0.095,0.22999999999999998,0.55,and,0.095,0.021849999999999998,0.07315
0.095,0.22999999999999998,0.55,or,0.32499999999999996,0.021849999999999925,0.30315000000000003
0.095,0.27499999999999997,0.55,and,0.095,0.026124999999999995,0.068875
0.095,0.27499999999999997,0.55,or,0.37,0.026125000000000065,0.34387499999999993
0.095,0.32,0.55,and,0.095,0.0304,0.0646
0.095,0.32,0.55,or,0.41500000000000004,0.030399999999999983,0.38460000000000005
0.095,0.365,0.55,and,0.095,0.034675,0.060325000000000004
0.095,0.365,0.55,or,0.44999999999999996,0.0346749999999999,0.41532500000000006
0.095,0.41,0.55,and,0.095,0.03895,0.05605
0.095,0.41,0.55,or,0.44999999999999996,0.03895000000000004,0.4110499999999999
0.095,0.45499999999999996,0.55,and,0.095,0.042749999999999996,0.052250000000000005
0.095,0.45499999999999996,0.55,or,0.44999999999999996,0.042750000000000066,0.4072499999999999
0.095,0.49999999999999994,0.55,and,0.095,0.042749999999999996,0.052250000000000005
0.095,0.49999999999999994,0.55,or,0.44999999999999996,0.042750000000000066,0.4072499999999999
0.095,0.545,0.55,and,0.095,0.042749999999999996,0.052250000000000005
0.095,0.545,0.55,or,0.44999999999999996,0.04275000000000018,0.4072499999999998
0.095,0.5900000000000001,0.55,and,0.095,0.03894999999999999,0.05605000000000001
0.095,0.5900000000000001,0.55,or,0.4099999999999999,0.03894999999999982,0.3710500000000001
0.095,0.635,0.55,and,0.095,0.034675,0.060325000000000004
0.095,0.635,0.55,or,0.365,0.03467500000000001,0.330325
0.095,0.68,0.55,and,0.095,0.030400000000000003,0.06459999999999999
0.095,0.68,0.55,or,0.31999999999999995,0.030400000000000094,0.28959999999999986
0.095,0.725,0.55,and,0.095,0.02612500000000001,0.06887499999999999
0.095,0.725,0.55,or,0.275,0.026124999999999732,0.2488750000000003
0.095,0.77,0.55,and,0.095,0.021849999999999994,0.07315
0.095,0.77,0.55,or,0.22999999999999998,0.021849999999999925,0.20815000000000006
0.095,0.8150000000000001,0.55,and,0.095,0.017574999999999993,0.07742500000000001
0.095,0.8150000000000001,0.55,or,0.18499999999999994,0.017575000000000007,0.16742499999999993
0.095,0.86,0.55,and,0.095,0.013300000000000006,0.0817
0.095,0.86,0.55,or,0.14,0.013299999999999979,0.12670000000000003
0.095,0.905,0.55,and,0.095,0.009024999999999991,0.08597500000000001
0.095,0.905,0.55,or,0.09499999999999997,0.00902500000000006,0.08597499999999991
0.095,0.95,0.55,and,0.095,0.004750000000000004,0.09025
0.095,0.95,0.55,or,0.050000000000000044,0.004750000000000032,0.04525000000000001
0.14,0.05,0.55,and,0.05,0.007000000000000001,0.043000000000000003
0.14,0.05,0.55,or,0.18999999999999995,0.007000000000000117,0.18299999999999983
0.14,0.095,0.55,and,0.095,0.013300000000000001,0.0817
0.14,0.095,0.55,or,0.235,0.013299999999999979,0.2217
0.14,0.14,0.55,and,0.14,0.019600000000000003,0.12040000000000001
0.14,0.14,0.55,or,0.28,0.019600000000000062,0.26039999999999996
0.14,0.185,0.55,and,0.14,0.025900000000000003,0.11410000000000001
0.14,0.185,0.55,or,0.32499999999999996,0.025899999999999923,0.29910000000000003
