p1,p2,p3,event,classical_width,improved_width,width_reduction
0.41,0.45499999999999996,0.55,or,0.44999999999999996,0.1844999999999999,0.26550000000000007
0.41,0.49999999999999994,0.55,and,0.41,0.18449999999999997,0.2255
0.41,0.49999999999999994,0.55,or,0.44999999999999996,0.1844999999999999,0.26550000000000007
0.41,0.545,0.55,and,0.41,0.18449999999999997,0.2255
0.41,0.545,0.55,or,0.44999999999999996,0.1844999999999999,0.26550000000000007
0.41,0.5900000000000001,0.55,and,0.41,0.16809999999999994,0.24190000000000003
0.41,0.5900000000000001,0.55,or,0.4099999999999999,0.1680999999999998,0.24190000000000011
0.41,0.635,0.55,and,0.41,0.14965,0.26034999999999997
0.41,0.635,0.55,or,0.365,0.14965000000000006,0.21534999999999993
0.41,0.68,0.55,and,0.41,0.13119999999999998,0.2788
0.41,0.68,0.55,or,0.31999999999999995,0.13119999999999998,0.18879999999999997
0.41,0.725,0.55,and,0.41,0.11275000000000002,0.29724999999999996
0.41,0.725,0.55,or,0.275,0.1127499999999999,0.16225000000000012
0.41,0.77,0.55,and,0.41,0.0943,0.3157
0.41,0.77,0.55,or,0.22999999999999998,0.09429999999999983,0.13570000000000015
0.41,0.8150000000000001,0.55,and,0.41,0.07584999999999997,0.33415
0.41,0.8150000000000001,0.55,or,0.18499999999999994,0.07584999999999997,0.10914999999999997
0.41,0.86,0.55,and,0.41,0.05740000000000001,0.35259999999999997
0.41,0.86,0.55,or,0.14,0.05740000000000012,0.0825999999999999
0.41,0.905,0.55,and,0.41,0.038949999999999985,0.37105
0.41,0.905,0.55,or,0.09499999999999997,0.03895000000000004,0.05604999999999993
0.41,0.95,0.55,and,0.41,0.020500000000000018,0.38949999999999996
0.41,0.95,0.55,or,0.050000000000000044,0.020499999999999963,0.02950000000000008
0.45499999999999996,0.05,0.55,and,0.05,0.022500000000000003,0.0275
0.45499999999999996,0.05,0.55,or,0.44999999999999996,0.022500000000000187,0.42749999999999977
0.45499999999999996,0.095,0.55,and,0.095,0.042749999999999996,0.052250000000000005
0.45499999999999996,0.095,0.55,or,0.44999999999999996,0.042750000000000066,0.4072499999999999
0.45499999999999996,0.14,0.55,and,0.14,0.063,0.07700000000000001
0.45499999999999996,0.14,0.55,or,0.44999999999999996,0.06299999999999994,0.387
0.45499999999999996,0.185,0.55,and,0.185,0.08324999999999999,0.10175000000000001
0.45499999999999996,0.185,0.55,or,0.44999999999999996,0.08324999999999982,0.36675000000000013
0.45499999999999996,0.22999999999999998,0.55,and,0.22999999999999998,0.10349999999999998,0.1265
0.45499999999999996,0.22999999999999998,0.55,or,0.44999999999999996,0.10349999999999993,0.34650000000000003
0.45499999999999996,0.27499999999999997,0.55,and,0.27499999999999997,0.12374999999999994,0.15125000000000002
0.45499999999999996,0.27499999999999997,0.55,or,0.44999999999999996,0.1237499999999998,0.32625000000000015
0.45499999999999996,0.32,0.55,and,0.32,0.144,0.17600000000000002
0.45499999999999996,0.32,0.55,or,0.44999999999999996,0.14400000000000002,0.30599999999999994
0.45499999999999996,0.365,0.55,and,0.365,0.16424999999999998,0.20075
0.45499999999999996,0.365,0.55,or,0.44999999999999996,0.16425,0.28574999999999995
0.45499999999999996,0.41,0.55,and,0.41,0.18449999999999997,0.2255
0.45499999999999996,0.41,0.55,or,0.44999999999999996,0.1845,0.26549999999999996
0.45499999999999996,0.45499999999999996,0.55,and,0.45499999999999996,0.20475000000000004,0.2502499999999999
0.45499999999999996,0.45499999999999996,0.55,or,0.44999999999999996,0.2047500000000002,0.24524999999999975
0.45499999999999996,0.49999999999999994,0.55,and,0.45499999999999996,0.20475,0.25025
0.45499999999999996,0.49999999999999994,0.55,or,0.44999999999999996,0.20475,0.24524999999999997
0.45499999999999996,0.545,0.55,and,0.45499999999999996,0.20475,0.25025
0.45499999999999996,0.545,0.55,or,0.44999999999999996,0.20475,0.24524999999999997
0.45499999999999996,0.5900000000000001,0.55,and,0.45499999999999996,0.18449999999999994,0.2705
0.45499999999999996,0.5900000000000001,0.55,or,0.4099999999999999,0.18449999999999978,0.22550000000000014
0.45499999999999996,0.635,0.55,and,0.45499999999999996,0.16425,0.29074999999999995
0.45499999999999996,0.635,0.55,or,0.365,0.16425,0.20074999999999998
0.45499999999999996,0.68,0.55,and,0.45499999999999996,0.14399999999999996,0.311
0.45499999999999996,0.68,0.55,or,0.31999999999999995,0.1439999999999999,0.17600000000000005
0.45499999999999996,0.725,0.55,and,0.45499999999999996,0.12374999999999997,0.33125
0.45499999999999996,0.725,0.55,or,0.275,0.12375000000000003,0.15125
0.45499999999999996,0.77,0.55,and,0.45499999999999996,0.10349999999999998,0.3515
0.45499999999999996,0.77,0.55,or,0.22999999999999998,0.10349999999999993,0.12650000000000006
0.45499999999999996,0.8150000000000001,0.55,and,0.45499999999999996,0.08324999999999999,0.37174999999999997
0.45499999999999996,0.8150000000000001,0.55,or,0.18499999999999994,0.08325000000000005,0.1017499999999999
0.45499999999999996,0.86,0.55,and,0.45499999999999996,0.063,0.39199999999999996
0.45499999999999996,0.86,0.55,or,0.14,0.06299999999999994,0.07700000000000007
0.45499999999999996,0.905,0.55,and,0.45499999999999996,0.04275000000000001,0.41224999999999995
0.45499999999999996,0.905,0.55,or,0.09499999999999997,0.042749999999999955,0.05225000000000002
0.45499999999999996,0.95,0.55,and,0.45499999999999996,0.022499999999999937,0.4325
0.45499999999999996,0.95,0.55,or,0.050000000000000044,0.022499999999999853,0.02750000000000019
0.49999999999999994,0.05,0.55,and,0.05,0.022500000000000003,0.0275
0.49999999999999994,0.05,0.55,or,0.44999999999999996,0.022500000000000075,0.4274999999999999
0.49999999999999994,0.095,0.55,and,0.095,0.042749999999999996,0.052250000000000005
0.49999999999999994,0.095,0.55,or,0.44999999999999996,0.042750000000000066,0.4072499999999999
0.49999999999999994,0.14,0.55,and,0.14,0.063,0.07700000000000001
0.49999999999999994,0.14,0.55,or,0.44999999999999996,0.06300000000000006,0.3869999999999999
0.49999999999999994,0.185,0.55,and,0.185,0.08324999999999999,0.10175000000000001
0.49999999999999994,0.185,0.55,or,0.44999999999999996,0.08324999999999994,0.36675
0.49999999999999994,0.22999999999999998,0.55,and,0.22999999999999998,0.10349999999999998,0.1265
0.49999999999999994,0.22999999999999998,0.55,or,0.44999999999999996,0.10349999999999993,0.34650000000000003
0.49999999999999994,0.27499999999999997,0.55,and,0.27499999999999997,0.12374999999999997,0.15125
0.49999999999999994,0.27499999999999997,0.55,or,0.44999999999999996,0.1237499999999998,0.32625000000000015
0.49999999999999994,0.32,0.55,and,0.32,0.144,0.17600000000000002
0.49999999999999994,0.32,0.55,or,0.44999999999999996,0.14400000000000002,0.30599999999999994
0.49999999999999994,0.365,0.55,and,0.365,0.16424999999999998,0.20075
0.49999999999999994,0.365,0.55,or,0.44999999999999996,0.1642499999999999,0.28575000000000006
0.49999999999999994,0.41,0.55,and,0.41,0.18449999999999997,0.2255
0.49999999999999994,0.41,0.55,or,0.44999999999999996,0.1844999999999999,0.26550000000000007
0.49999999999999994,0.45499999999999996,0.55,and,0.45499999999999996,0.20475,0.25025
0.49999999999999994,0.45499999999999996,0.55,or,0.44999999999999996,0.20475,0.24524999999999997
0.49999999999999994,0.49999999999999994,0.55,and,0.49999999999999994,0.22499999999999998,0.27499999999999997
0.49999999999999994,0.49999999999999994,0.55,or,0.44999999999999996,0.22499999999999987,0.2250000000000001
0.49999999999999994,0.545,0.55,and,0.49999999999999994,0.20475,0.29524999999999996
0.49999999999999994,0.545,0.55,or,0.44999999999999996,0.20475,0.24524999999999997
0.49999999999999994,0.5900000000000001,0.55,and,0.49999999999999994,0.18449999999999994,0.3155
0.49999999999999994,0.5900000000000001,0.55,or,0.4099999999999999,0.1844999999999999,0.22550000000000003
0.49999999999999994,0.635,0.55,and,0.49999999999999994,0.16425,0.33574999999999994
0.49999999999999994,0.635,0.55,or,0.365,0.16425,0.20074999999999998
0.49999999999999994,0.68,0.55,and,0.49999999999999994,0.14399999999999996,0.356
0.49999999999999994,0.68,0.55,or,0.31999999999999995,0.1439999999999999,0.17600000000000005
0.49999999999999994,0.725,0.55,and,0.49999999999999994,0.12374999999999997,0.37625
0.49999999999999994,0.725,0.55,or,0.275,0.12375000000000003,0.15125
0.49999999999999994,0.77,0.55,and,0.49999999999999994,0.10349999999999998,0.39649999999999996
0.49999999999999994,0.77,0.55,or,0.22999999999999998,0.10349999999999993,0.12650000000000006
0.49999999999999994,0.8150000000000001,0.55,and,0.49999999999999994,0.08324999999999999,0.41674999999999995
0.49999999999999994,0.8150000000000001,0.55,or,0.18499999999999994,0.08325000000000005,0.1017499999999999
0.49999999999999994,0.86,0.55,and,0.49999999999999994,0.063,0.43699999999999994
0.49999999999999994,0.86,0.55,or,0.14,0.06299999999999994,0.07700000000000007
0.49999999999999994,0.905,0.55,and,0.49999999999999994,0.04275000000000001,0.45724999999999993
0.49999999999999994,0.905,0.55,or,0.09499999999999997,0.042750000000000066,0.05224999999999991
0.49999999999999994,0.95,0.55,and,0.49999999999999994,0.022499999999999964,0.4775
0.49999999999999994,0.95,0.55,or,0.050000000000000044,0.022499999999999964,0.02750000000000008
0.545,0.05,0.55,and,0.05,0.0225,0.027500000000000004
0.545,0.05,0.55,or,0.44999999999999996,0.022499999999999964,0.4275
0.545,0.095,0.55,and,0.095,0.042749999999999996,0.052250000000000005
0.545,0.095,0.55,or,0.44999999999999996,0.04275000000000029,0.40724999999999967
0.545,0.14,0.55,and,0.14,0.063,0.07700000000000001
0.545,0.14,0.55,or,0.44999999999999996,0.06300000000000006,0.3869999999999999
0.545,0.185,0.55,and,0.185,0.08324999999999999,0.10175000000000001
0.545,0.185,0.55,or,0.44999999999999996,0.08325000000000005,0.3667499999999999
0.545,0.22999999999999998,0.55,and,0.22999999999999998,0.10349999999999998,0.1265
0.545,0.22999999999999998,0.55,or,0.44999999999999996,0.10349999999999993,0.34650000000000003
0.545,0.27499999999999997,0.55,and,0.27499999999999997,0.12374999999999997,0.15125
0.545,0.27499999999999997,0.55,or,0.44999999999999996,0.12375000000000003,0.32624999999999993
0.545,0.32,0.55,and,0.32,0.144,0.17600000000000002
0.545,0.32,0.55,or,0.44999999999999996,0.1439999999999999,0.30600000000000005
0.545,0.365,0.55,and,0.365,0.16424999999999998,0.20075
0.545,0.365,0.55,or,0.44999999999999996,0.16425,0.28574999999999995
0.545,0.41,0.55,and,0.41,0.18449999999999997,0.2255
0.545,0.41,0.55,or,0.44999999999999996,0.1845,0.26549999999999996
0.545,0.45499999999999996,0.55,and,0.45499999999999996,0.20475,0.25025
0.545,0.45499999999999996,0.55,or,0.44999999999999996,0.20475,0.24524999999999997
0.545,0.49999999999999994,0.55,and,0.49999999999999994,0.20475,0.29524999999999996
0.545,0.49999999999999994,0.55,or,0.44999999999999996,0.20475,0.24524999999999997
0.545,0.545,0.55,and,0.545,0.20475,0.34025000000000005
0.545,0.545,0.55,or,0.44999999999999996,0.20475,0.24524999999999997
0.545,0.5900000000000001,0.55,and,0.545,0.18449999999999994,0.3605000000000001
0.545,0.5900000000000001,0.55,or,0.4099999999999999,0.1844999999999999,0.22550000000000003
0.545,0.635,0.55,and,0.545,0.16425,0.38075000000000003
0.545,0.635,0.55,or,0.365,0.16425,0.20074999999999998
0.545,0.68,0.55,and,0.545,0.14399999999999996,0.4010000000000001
0.545,0.68,0.55,or,0.31999999999999995,0.1439999999999999,0.17600000000000005
0.545,0.725,0.55,and,0.545,0.12374999999999997,0.42125000000000007
0.545,0.725,0.55,or,0.275,0.12375000000000003,0.15125
0.545,0.77,0.55,and,0.545,0.10349999999999998,0.44150000000000006
0.545,0.77,0.55,or,0.22999999999999998,0.10349999999999993,0.12650000000000006
0.545,0.8150000000000001,0.55,and,0.545,0.08324999999999999,0.46175000000000005
0.545,0.8150000000000001,0.55,or,0.18499999999999994,0.08325000000000005,0.1017499999999999
0.545,0.86,0.55,and,0.545,0.063,0.48200000000000004
0.545,0.86,0.55,or,0.14,0.06299999999999994,0.07700000000000007
0.545,0.905,0.55,and,0.545,0.04275000000000001,0.5022500000000001
0.545,0.905,0.55,or,0.09499999999999997,0.042750000000000066,0.05224999999999991
0.545,0.95,0.55,and,0.5000000000000001,0.022499999999999964,0.47750000000000015
0.545,0.95,0.55,or,0.050000000000000044,0.022499999999999964,0.02750000000000008
0.5900000000000001,0.05,0.55,and,0.05,0.020499999999999997,0.029500000000000005
0.5900000000000001,0.05,0.55,or,0.4099999999999999,0.020499999999999963,0.38949999999999996
0.5900000000000001,0.095,0.55,and,0.095,0.03894999999999999,0.05605000000000001
0.5900000000000001,0.095,0.55,or,0.4099999999999999,0.03894999999999982,0.3710500000000001
0.5900000000000001,0.14,0.55,and,0.14,0.05739999999999999,0.08260000000000002
0.5900000000000001,0.14,0.55,or,0.4099999999999999,0.05740000000000001,0.3525999999999999
0.5900000000000001,0.185,0.55,and,0.185,0.07584999999999999,0.10915000000000001
0.5900000000000001,0.185,0.55,or,0.4099999999999999,0.07584999999999997,0.33414999999999995
0.5900000000000001,0.22999999999999998,0.55,and,0.22999999999999998,0.09429999999999997,0.13570000000000002
0.5900000000000001,0.22999999999999998,0.55,or,0.4099999999999999,0.09429999999999994,0.3157
0.5900000000000001,0.27499999999999997,0.55,and,0.27499999999999997,0.11274999999999996,0.16225
0.5900000000000001,0.27499999999999997,0.55,or,0.4099999999999999,0.1127499999999999,0.29725
0.5900000000000001,0.32,0.55,and,0.32,0.13119999999999998,0.18880000000000002
0.5900000000000001,0.32,0.55,or,0.4099999999999999,0.13119999999999998,0.27879999999999994
0.5900000000000001,0.365,0.55,and,0.365,0.14964999999999998,0.21535
0.5900000000000001,0.365,0.55,or,0.4099999999999999,0.14964999999999995,0.26034999999999997
0.5900000000000001,0.41,0.55,and,0.41,0.16809999999999994,0.24190000000000003
0.5900000000000001,0.41,0.55,or,0.4099999999999999,0.16810000000000003,0.2418999999999999
0.5900000000000001,0.45499999999999996,0.55,and,0.45499999999999996,0.18449999999999994,0.2705
0.5900000000000001,0.45499999999999996,0.55,or,0.4099999999999999,0.18449999999999978,0.22550000000000014
0.5900000000000001,0.49999999999999994,0.55,and,0.49999999999999994,0.18449999999999994,0.3155
0.5900000000000001,0.49999999999999994,0.55,or,0.4099999999999999,0.1844999999999999,0.22550000000000003
0.5900000000000001,0.545,0.55,and,0.545,0.18449999999999994,0.3605000000000001
0.5900000000000001,0.545,0.55,or,0.4099999999999999,0.1844999999999999,0.22550000000000003
0.5900000000000001,0.5900000000000001,0.55,and,0.55,0.16809999999999992,0.38190000000000013
0.5900000000000001,0.5900000000000001,0.55,or,0.4099999999999999,0.16809999999999992,0.2419
0.5900000000000001,0.635,0.55,and,0.55,0.14964999999999995,0.4003500000000001
0.5900000000000001,0.635,0.55,or,0.365,0.14964999999999984,0.21535000000000015
0.5900000000000001,0.68,0.55,and,0.55,0.13119999999999993,0.4188000000000001
0.5900000000000001,0.68,0.55,or,0.31999999999999995,0.13119999999999998,0.18879999999999997
0.5900000000000001,0.725,0.55,and,0.55,0.11274999999999996,0.4372500000000001
0.5900000000000001,0.725,0.55,or,0.275,0.1127499999999999,0.16225000000000012
0.5900000000000001,0.77,0.55,and,0.55,0.0943,0.45570000000000005
0.5900000000000001,0.77,0.55,or,0.22999999999999998,0.09430000000000005,0.13569999999999993
0.5900000000000001,0.8150000000000001,0.55,and,0.55,0.07584999999999997,0.47415000000000007
0.5900000000000001,0.8150000000000001,0.55,or,0.18499999999999994,0.07584999999999997,0.10914999999999997
0.5900000000000001,0.86,0.55,and,0.55,0.05740000000000001,0.49260000000000004
0.5900000000000001,0.86,0.55,or,0.14,0.05740000000000001,0.0826
0.5900000000000001,0.905,0.55,and,0.5050000000000001,0.03894999999999993,0.4660500000000002
0.5900000000000001,0.905,0.55,or,0.09499999999999997,0.03894999999999993,0.056050000000000044
0.5900000000000001,0.95,0.55,and,0.4600000000000002,0.020499999999999963,0.4395000000000002
0.5900000000000001,0.95,0.55,or,0.050000000000000044,0.020499999999999963,0.02950000000000008
0.635,0.05,0.55,and,0.05,0.018250000000000002,0.03175
0.635,0.05,0.55,or,0.365,0.0182500000000001,0.3467499999999999
0.635,0.095,0.55,and,0.095,0.034675,0.060325000000000004
0.635,0.095,0.55,or,0.365,0.03467500000000001,0.330325
0.635,0.14,0.55,and,0.14,0.051100000000000007,0.0889
0.635,0.14,0.55,or,0.365,0.051100000000000145,0.31389999999999985
0.635,0.185,0.55,and,0.185,0.067525,0.117475
0.635,0.185,0.55,or,0.365,0.06752499999999984,0.29747500000000016
0.635,0.22999999999999998,0.55,and,0.22999999999999998,0.08395,0.14604999999999999
0.635,0.22999999999999998,0.55,or,0.365,0.08394999999999986,0.28105000000000013
0.635,0.27499999999999997,0.55,and,0.27499999999999997,0.10037499999999999,0.17462499999999997
0.635,0.27499999999999997,0.55,or,0.365,0.10037499999999999,0.264625
0.635,0.32,0.55,and,0.32,0.11679999999999999,0.20320000000000002
0.635,0.32,0.55,or,0.365,0.11680000000000001,0.24819999999999998
0.635,0.365,0.55,and,0.365,0.13322499999999998,0.231775
0.635,0.365,0.55,or,0.365,0.13322500000000004,0.23177499999999995
0.635,0.41,0.55,and,0.41,0.14965,0.26034999999999997
0.635,0.41,0.55,or,0.365,0.14964999999999995,0.21535000000000004
0.635,0.45499999999999996,0.55,and,0.45499999999999996,0.16425,0.29074999999999995
0.635,0.45499999999999996,0.55,or,0.365,0.16425,0.20074999999999998
0.635,0.49999999999999994,0.55,and,0.49999999999999994,0.16425,0.33574999999999994
0.635,0.49999999999999994,0.55,or,0.365,0.16425,0.20074999999999998
0.635,0.545,0.55,and,0.545,0.16425,0.38075000000000003
0.635,0.545,0.55,or,0.365,0.16425,0.20074999999999998
0.635,0.5900000000000001,0.55,and,0.55,0.14964999999999995,0.4003500000000001
0.635,0.5900000000000001,0.55,or,0.365,0.14964999999999995,0.21535000000000004
0.635,0.635,0.55,and,0.55,0.13322499999999998,0.41677500000000006
0.635,0.635,0.55,or,0.365,0.13322499999999993,0.23177500000000006
0.635,0.68,0.55,and,0.55,0.11679999999999996,0.4332000000000001
0.635,0.68,0.55,or,0.31999999999999995,0.1167999999999999,0.20320000000000005
0.635,0.725,0.55,and,0.55,0.10037499999999999,0.44962500000000005
0.635,0.725,0.55,or,0.275,0.1003750000000001,0.17462499999999992
0.635,0.77,0.55,and,0.55,0.08394999999999997,0.4660500000000001
0.635,0.77,0.55,or,0.22999999999999998,0.08394999999999997,0.14605
0.635,0.8150000000000001,0.55,and,0.55,0.06752499999999995,0.4824750000000001
0.635,0.8150000000000001,0.55,or,0.18499999999999994,0.06752500000000006,0.11747499999999989
0.635,0.86,0.55,and,0.5050000000000001,0.051100000000000034,0.4539000000000001
0.635,0.86,0.55,or,0.14,0.05109999999999992,0.08890000000000009
0.635,0.905,0.55,and,0.4600000000000002,0.03467500000000001,0.4253250000000002
0.635,0.905,0.55,or,0.09499999999999997,0.03467500000000001,0.06032499999999996
0.635,0.95,0.55,and,0.41500000000000026,0.01824999999999999,0.39675000000000027
0.635,0.95,0.55,or,0.050000000000000044,0.01824999999999999,0.031750000000000056
0.68,0.05,0.55,and,0.05,0.016,0.034
0.68,0.05,0.55,or,0.31999999999999995,0.016000000000000014,0.30399999999999994
0.68,0.095,0.55,and,0.095,0.030399999999999996,0.0646
0.68,0.095,0.55,or,0.31999999999999995,0.03039999999999976,0.2896000000000002
0.68,0.14,0.55,and,0.14,0.04479999999999999,0.09520000000000002
0.68,0.14,0.55,or,0.31999999999999995,0.04480000000000006,0.2751999999999999
0.68,0.185,0.55,and,0.185,0.0592,0.1258
0.68,0.185,0.55,or,0.31999999999999995,0.05919999999999992,0.26080000000000003
0.68,0.22999999999999998,0.55,and,0.22999999999999998,0.07359999999999997,0.1564
0.68,0.22999999999999998,0.55,or,0.31999999999999995,0.07360000000000022,0.24639999999999973
0.68,0.27499999999999997,0.55,and,0.27499999999999997,0.08799999999999997,0.187
0.68,0.27499999999999997,0.55,or,0.31999999999999995,0.08799999999999986,0.2320000000000001
0.68,0.32,0.55,and,0.32,0.10239999999999998,0.21760000000000002
0.68,0.32,0.55,or,0.31999999999999995,0.10239999999999971,0.21760000000000024
0.68,0.365,0.55,and,0.365,0.11679999999999999,0.2482
0.68,0.365,0.55,or,0.31999999999999995,0.11680000000000013,0.20319999999999983
0.68,0.41,0.55,and,0.41,0.13119999999999998,0.2788
0.68,0.41,0.55,or,0.31999999999999995,0.13119999999999987,0.18880000000000008
0.68,0.45499999999999996,0.55,and,0.45499999999999996,0.14399999999999996,0.311
0.68,0.45499999999999996,0.55,or,0.31999999999999995,0.1439999999999999,0.17600000000000005
0.68,0.49999999999999994,0.55,and,0.49999999999999994,0.14399999999999996,0.356
0.68,0.49999999999999994,0.55,or,0.31999999999999995,0.1439999999999999,0.17600000000000005
0.68,0.545,0.55,and,0.545,0.14399999999999996,0.4010000000000001
0.68,0.545,0.55,or,0.31999999999999995,0.1439999999999999,0.17600000000000005
0.68,0.5900000000000001,0.55,and,0.55,0.13119999999999993,0.4188000000000001
0.68,0.5900000000000001,0.55,or,0.31999999999999995,0.13119999999999998,0.18879999999999997
0.68,0.635,0.55,and,0.55,0.11679999999999996,0.4332000000000001
0.68,0.635,0.55,or,0.31999999999999995,0.11680000000000001,0.20319999999999994
0.68,0.68,0.55,and,0.55,0.10239999999999999,0.44760000000000005
0.68,0.68,0.55,or,0.31999999999999995,0.10240000000000005,0.2175999999999999
0.68,0.725,0.55,and,0.55,0.08799999999999997,0.4620000000000001
0.68,0.725,0.55,or,0.275,0.08799999999999986,0.18700000000000017
0.68,0.77,0.55,and,0.55,0.0736,0.47640000000000005
0.68,0.77,0.55,or,0.22999999999999998,0.07359999999999989,0.1564000000000001
0.68,0.8150000000000001,0.55,and,0.5050000000000001,0.05919999999999992,0.4458000000000002
0.68,0.8150000000000001,0.55,or,0.18499999999999994,0.05919999999999981,0.12580000000000013
0.68,0.86,0.55,and,0.4600000000000002,0.04479999999999995,0.41520000000000024
0.68,0.86,0.55,or,0.14,0.04480000000000006,0.09519999999999995
0.68,0.905,0.55,and,0.41500000000000026,0.030399999999999983,0.3846000000000003
0.68,0.905,0.55,or,0.09499999999999997,0.030400000000000094,0.06459999999999988
0.68,0.95,0.55,and,0.37000000000000033,0.016000000000000014,0.3540000000000003
0.68,0.95,0.55,or,0.050000000000000044,0.016000000000000014,0.03400000000000003
0.725,0.05,0.55,and,0.05,0.013750000000000005,0.03625
0.725,0.05,0.55,or,0.275,0.013750000000000262,0.26124999999999976
0.725,0.095,0.55,and,0.095,0.02612500000000001,0.06887499999999999
0.725,0.095,0.55,or,0.275,0.026124999999999843,0.24887500000000018
0.725,0.14,0.55,and,0.14,0.038500000000000006,0.1015
0.725,0.14,0.55,or,0.275,0.03849999999999998,0.23650000000000004
0.725,0.185,0.55,and,0.185,0.050875000000000004,0.134125
0.725,0.185,0.55,or,0.275,0.05087499999999978,0.22412500000000024
0.725,0.22999999999999998,0.55,and,0.22999999999999998,0.06325,0.16674999999999998
0.725,0.22999999999999998,0.55,or,0.275,0.06325000000000025,0.21174999999999977
0.725,0.27499999999999997,0.55,and,0.27499999999999997,0.07562499999999998,0.19937499999999997
0.725,0.27499999999999997,0.55,or,0.275,0.07562499999999983,0.1993750000000002
0.725,0.32,0.55,and,0.32,0.08800000000000001,0.23199999999999998
0.725,0.32,0.55,or,0.275,0.08799999999999975,0.18700000000000028
0.725,0.365,0.55,and,0.365,0.10037499999999999,0.264625
0.725,0.365,0.55,or,0.275,0.1003750000000001,0.17462499999999992
0.725,0.41,0.55,and,0.41,0.11275000000000002,0.29724999999999996
0.725,0.41,0.55,or,0.275,0.1127499999999999,0.16225000000000012
0.725,0.45499999999999996,0.55,and,0.45499999999999996,0.12374999999999997,0.33125
0.725,0.45499999999999996,0.55,or,0.275,0.12375000000000003,0.15125
0.725,0.49999999999999994,0.55,and,0.49999999999999994,0.12374999999999997,0.37625
0.725,0.49999999999999994,0.55,or,0.275,0.12375000000000003,0.15125
0.725,0.545,0.55,and,0.545,0.12374999999999997,0.42125000000000007
0.725,0.545,0.55,or,0.275,0.12375000000000003,0.15125
0.725,0.5900000000000001,0.55,and,0.55,0.11274999999999996,0.4372500000000001
0.725,0.5900000000000001,0.55,or,0.275,0.1127499999999999,0.16225000000000012
0.725,0.635,0.55,and,0.55,0.10037499999999999,0.44962500000000005
0.725,0.635,0.55,or,0.275,0.10037499999999999,0.17462500000000003
0.725,0.68,0.55,and,0.55,0.08799999999999997,0.4620000000000001
0.725,0.68,0.55,or,0.275,0.08800000000000008,0.18699999999999994
0.725,0.725,0.55,and,0.55,0.07562500000000005,0.474375
0.725,0.725,0.55,or,0.275,0.07562499999999994,0.19937500000000008
0.725,0.77,0.55,and,0.5050000000000001,0.06325000000000003,0.4417500000000001
0.725,0.77,0.55,or,0.22999999999999998,0.06324999999999992,0.16675000000000006
0.725,0.8150000000000001,0.55,and,0.4600000000000002,0.050875000000000004,0.4091250000000002
0.725,0.8150000000000001,0.55,or,0.18499999999999994,0.05087499999999989,0.13412500000000005
0.725,0.86,0.55,and,0.41500000000000026,0.03849999999999998,0.3765000000000003
0.725,0.86,0.55,or,0.14,0.03850000000000009,0.10149999999999992
0.725,0.905,0.55,and,0.37000000000000033,0.026124999999999954,0.3438750000000004
0.725,0.905,0.55,or,0.09499999999999997,0.026125000000000065,0.06887499999999991
0.725,0.95,0.55,and,0.3250000000000004,0.01375000000000004,0.31125000000000036
0.725,0.95,0.55,or,0.050000000000000044,0.013749999999999929,0.036250000000000115
0.77,0.05,0.55,and,0.05,0.011499999999999996,0.038500000000000006
0.77,0.05,0.55,or,0.22999999999999998,0.011500000000000066,0.21849999999999992
0.77,0.095,0.55,and,0.095,0.021849999999999994,0.07315
0.77,0.095,0.55,or,0.22999999999999998,0.021849999999999925,0.20815000000000006
0.77,0.14,0.55,and,0.14,0.032200000000000006,0.1078
0.77,0.14,0.55,or,0.22999999999999998,0.032199999999999895,0.1978000000000001
0.77,0.185,0.55,and,0.185,0.042550000000000004,0.14245
0.77,0.185,0.55,or,0.22999999999999998,0.04255000000000009,0.1874499999999999
0.77,0.22999999999999998,0.55,and,0.22999999999999998,0.0529,0.17709999999999998
0.77,0.22999999999999998,0.55,or,0.22999999999999998,0.05289999999999995,0.17710000000000004
0.77,0.27499999999999997,0.55,and,0.27499999999999997,0.06325,0.21174999999999997
0.77,0.27499999999999997,0.55,or,0.22999999999999998,0.06324999999999992,0.16675000000000006
0.77,0.32,0.55,and,0.32,0.0736,0.2464
0.77,0.32,0.55,or,0.22999999999999998,0.0736,0.15639999999999998
0.77,0.365,0.55,and,0.365,0.08394999999999997,0.28105
0.77,0.365,0.55,or,0.22999999999999998,0.08394999999999997,0.14605
0.77,0.41,0.55,and,0.41,0.0943,0.3157
0.77,0.41,0.55,or,0.22999999999999998,0.09429999999999994,0.13570000000000004
0.77,0.45499999999999996,0.55,and,0.45499999999999996,0.10349999999999998,0.3515
0.77,0.45499999999999996,0.55,or,0.22999999999999998,0.10349999999999993,0.12650000000000006
0.77,0.49999999999999994,0.55,and,0.49999999999999994,0.10349999999999998,0.39649999999999996
0.77,0.49999999999999994,0.55,or,0.22999999999999998,0.10349999999999993,0.12650000000000006
0.77,0.545,0.55,and,0.545,0.10349999999999998,0.44150000000000006
0.77,0.545,0.55,or,0.22999999999999998,0.10349999999999993,0.12650000000000006
0.77,0.5900000000000001,0.55,and,0.55,0.0943,0.45570000000000005
0.77,0.5900000000000001,0.55,or,0.22999999999999998,0.09430000000000005,0.13569999999999993
0.77,0.635,0.55,and,0.55,0.08394999999999997,0.4660500000000001
0.77,0.635,0.55,or,0.22999999999999998,0.08394999999999997,0.14605
0.77,0.68,0.55,and,0.55,0.0736,0.47640000000000005
